time,pressure (Torr),time_in_mm
15:24:50,900.0,924.8333333333334
15:24:53,900.0,0.049999999999954525
15:24:56,900.0,0.09999999999990905
15:24:59,900.0,0.14999999999997726
15:25:02,900.0,0.1999999999999318
15:25:05,900.0,0.25
15:25:08,900.0,0.2999999999999545
15:25:10,900.0,0.33333333333325754
15:25:13,900.0,0.38333333333332575
15:25:16,900.0,0.4333333333332803
15:25:19,900.0,0.4833333333333485
15:25:22,900.0,0.533333333333303
15:25:24,900.0,0.566666666666606
15:25:27,900.0,0.6166666666666742
15:25:30,900.0,0.6666666666666288
15:25:33,900.0,0.7166666666665833
15:25:36,900.0,0.7666666666666515
15:25:38,900.0,0.7999999999999545
15:25:41,900.0,0.849999999999909
15:25:44,900.0,0.8999999999999773
15:25:47,900.0,0.9499999999999318
15:25:50,900.0,1.0
15:25:52,900.0,1.033333333333303
15:25:55,900.0,1.0833333333332575
15:25:58,900.0,1.1333333333333258
15:26:01,900.0,1.1833333333332803
15:26:04,900.0,1.2333333333333485
15:26:06,900.0,1.2666666666666515
15:26:09,900.0,1.316666666666606
15:26:12,900.0,1.3666666666666742
15:26:15,900.0,1.4166666666666288
15:26:18,900.0,1.4666666666665833
15:26:20,900.0,1.5
15:26:23,900.0,1.5499999999999545
15:26:26,900.0,1.599999999999909
15:26:29,900.0,1.6499999999999773
15:26:32,900.0,1.6999999999999318
15:26:34,900.0,1.7333333333333485
15:26:37,900.0,1.783333333333303
15:26:40,900.0,1.8333333333332575
15:26:43,900.0,1.8833333333333258
15:26:46,900.0,1.9333333333332803
15:26:48,900.0,1.9666666666665833
15:26:51,900.0,2.0166666666666515
15:26:54,900.0,2.066666666666606
15:26:57,900.0,2.1166666666666742
15:27:00,900.0,2.1666666666666288
15:27:02,900.0,2.199999999999932
15:27:05,900.0,2.25
15:27:08,900.0,2.2999999999999545
15:27:11,900.0,2.349999999999909
15:27:14,900.0,2.3999999999999773
15:27:16,900.0,2.4333333333332803
15:27:19,900.0,2.4833333333333485
15:27:22,900.0,2.533333333333303
15:27:25,900.0,2.5833333333332575
15:27:27,900.0,2.6166666666666742
15:27:30,900.0,2.6666666666666288
15:27:33,900.0,2.7166666666665833
15:27:36,900.0,2.7666666666666515
15:27:39,900.0,2.816666666666606
15:27:42,900.0,2.8666666666666742
15:27:44,900.0,2.8999999999999773
15:27:47,900.0,2.949999999999932
15:27:50,900.0,3.0
15:27:53,900.0,3.0499999999999545
15:27:56,900.0,3.099999999999909
15:27:58,900.0,3.1333333333333258
15:28:01,900.0,3.1833333333332803
15:28:04,900.0,3.2333333333333485
15:28:07,900.0,3.283333333333303
15:28:10,900.0,3.3333333333332575
15:28:12,900.0,3.3666666666666742
15:28:15,900.0,3.4166666666666288
15:28:18,900.0,3.4666666666665833
15:28:21,900.0,3.5166666666666515
15:28:24,900.0,3.566666666666606
15:28:26,900.0,3.599999999999909
15:28:29,900.0,3.6499999999999773
15:28:32,900.0,3.699999999999932
15:28:35,900.0,3.75
15:28:37,900.0,3.783333333333303
15:28:40,900.0,3.8333333333332575
15:28:43,900.0,3.8833333333333258
10:47:26,900.0,-277.4000000000001
10:47:29,900.0,-277.35
10:47:32,900.0,-277.30000000000007
10:47:35,900.0,-277.25
10:47:38,900.0,-277.20000000000005
10:47:41,900.0,-277.1500000000001
10:47:44,900.0,-277.1
10:47:47,900.0,-277.05000000000007
10:47:50,900.0,-277.0
10:47:52,900.0,-276.9666666666667
10:47:55,900.0,-276.91666666666674
10:47:58,900.0,-276.8666666666667
10:48:01,900.0,-276.8166666666667
10:48:04,900.0,-276.76666666666665
10:48:06,900.0,-276.73333333333335
10:48:09,900.0,-276.6833333333334
10:48:12,900.0,-276.6333333333333
10:48:15,900.0,-276.58333333333337
10:48:18,900.0,-276.5333333333334
10:48:20,900.0,-276.5
10:48:23,900.0,-276.45000000000005
10:48:26,900.0,-276.4000000000001
10:48:29,900.0,-276.35
