Date (mm/dd/yy),Time,Pressure (Torr),time_in_mm
01/07/2022,12:55:18,900.0,775.3
01/07/2022,12:55:20,900.0,0.033333333333416704
01/07/2022,12:55:23,900.0,0.08333333333337123
01/07/2022,12:55:26,900.0,0.13333333333332575
01/07/2022,12:55:29,900.0,0.18333333333339397
01/07/2022,12:55:32,900.0,0.2333333333333485
01/07/2022,12:55:35,900.0,0.2833333333334167
01/07/2022,12:55:37,900.0,0.3166666666667197
01/07/2022,12:55:40,900.0,0.36666666666667425
01/07/2022,12:55:43,900.0,0.41666666666674246
01/07/2022,12:55:46,900.0,0.466666666666697
01/07/2022,12:55:48,900.0,0.5
01/07/2022,12:55:51,900.0,0.5500000000000682
01/07/2022,12:55:54,900.0,0.6000000000000227
01/07/2022,12:55:57,900.0,0.650000000000091
01/07/2022,12:56:00,900.0,0.7000000000000455
01/07/2022,12:56:02,900.0,0.7333333333333485
01/07/2022,12:56:05,900.0,0.7833333333334167
01/07/2022,12:56:08,900.0,0.8333333333333712
01/07/2022,12:56:11,900.0,0.8833333333333258
01/07/2022,12:56:14,900.0,0.933333333333394
01/07/2022,12:56:17,900.0,0.9833333333333485
01/07/2022,12:56:19,900.0,1.0166666666667652
01/07/2022,12:56:22,900.0,1.0666666666667197
01/07/2022,12:56:25,900.0,1.1166666666666742
01/07/2022,12:56:28,900.0,1.1666666666667425
01/07/2022,12:56:31,900.0,1.216666666666697
01/07/2022,12:56:34,900.0,1.2666666666667652
01/07/2022,12:56:36,900.0,1.3000000000000682
01/07/2022,12:56:39,900.0,1.3500000000000227
01/07/2022,12:56:42,900.0,1.400000000000091
01/07/2022,12:56:45,900.0,1.4500000000000455
01/07/2022,12:56:48,900.0,1.5
01/07/2022,12:56:50,900.0,1.5333333333334167
01/07/2022,12:56:53,900.0,1.5833333333333712
01/07/2022,12:56:56,900.0,1.6333333333333258
01/07/2022,12:56:59,900.0,1.683333333333394
01/07/2022,12:57:01,900.0,1.716666666666697
01/07/2022,12:57:04,900.0,1.7666666666667652
01/07/2022,12:57:07,900.0,1.8166666666667197
01/07/2022,12:57:10,900.0,1.8666666666666742
01/07/2022,12:57:13,900.0,1.9166666666667425
01/07/2022,12:57:15,900.0,1.9500000000000455
01/07/2022,12:57:18,900.0,2.0
01/07/2022,12:57:21,900.0,2.050000000000068
01/07/2022,12:57:24,900.0,2.1000000000000227
01/07/2022,12:57:27,900.0,2.150000000000091
01/07/2022,12:57:29,900.0,2.183333333333394
01/07/2022,12:57:32,900.0,2.2333333333333485
01/07/2022,12:57:35,900.0,2.2833333333334167
01/07/2022,12:57:38,900.0,2.3333333333333712
01/07/2022,12:57:41,900.0,2.3833333333333258
